C1:1
C2:1
D1:1
D2:1
D3:1
D4:1
F2:1
J1:1
R1:1
R10:1
R2:1
R3:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
TP1:1
TP2:1
TP3:1
U1:1
