pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
181.46,-117.8,0.0,top,C1,,,C_0603_1608Metric,100nF,smt
178.415,-117.8,180.0,top,C2,,,C_0603_1608Metric,3.3uF,smt
164.45,-126.79,-90.0,top,C3,,,C_0603_1608Metric,100nF,smt
170.73,-121.51,180.0,top,C4,,,C_0603_1608Metric,100nF,smt
169.127554,-125.979512,180.0,top,C5,,,C_0603_1608Metric,18 pF,smt
169.127554,-128.166951,180.0,top,C6,,,C_0603_1608Metric,18 pF,smt
157.79,-121.45,90.0,top,C7,,,C_0805_2012Metric,3.3uF,smt
170.86,-112.92,90.0,top,C8,,,C_0805_2012Metric,3.3uF,smt
166.3497,-127.108105,-90.0,top,C9,,,C_0805_2012Metric,3.3uF,smt
156.02,-120.81,-90.0,top,D1,,,Nexperia_DSN1608-2_1.6x0.8mm,PTVS7V5Z1USK,smt
190.64,-121.43,0.0,top,D2,,,SOT-23,SP0502BAHT,smt
157.07,-118.72,0.0,top,F1,,,Fuse_0805_2012Metric,2A,smt
149.88,-115.35,-90.0,top,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0_16P,smt
189.444108,-128.175302,90.0,top,J2,,,PinHeader_2x05_P2.54mm_Vertical,GPIO1,tht
184.394108,-114.355302,90.0,top,J3,,,PinHeader_2x05_P2.54mm_Vertical,GPIO2,tht
203.299108,-117.985302,0.0,top,J4,,,PinHeader_2x05_P2.54mm_Vertical,GPIO3,tht
180.784108,-111.835302,90.0,top,J5,,,PinHeader_1x01_P2.54mm_Vertical,5V,tht
205.834108,-111.795302,-90.0,top,J6,,,PinHeader_2x04_P2.54mm_Vertical,GPIO4,tht
171.03,-116.13,0.0,top,R1,,,R_0603_1608Metric,22,smt
171.03,-117.66,0.0,top,R2,,,R_0603_1608Metric,22,smt
156.88,-114.12,0.0,top,R3,,,R_0603_1608Metric,5.1k,smt
156.87,-116.92,0.0,top,R4,,,R_0603_1608Metric,5.1k,smt
153.0791,-126.623151,0.0,top,SW1,,,KH-6X6X5H-STM_SKE,RST,smt
179.96,-123.72,-90.0,top,U1,CH559L,,CH559L,CH559L,smt
164.37,-118.34,-90.0,top,U3,MKDN128GCL-AB,,MKDN128GCL-AB,MKDN128GCL-AB,smt
174.78,-112.8275,0.0,top,U4,,,SOT-89-3,AZ1117-3.3,smt
172.83,-127.04,-90.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,Crystal_GND24,smt
