pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
215.867168,-91.465183,0.0,top,Q37,,,SOT-23,MMBTA42,smt
199.308054,-121.657058,-90.0,top,Q7,,,SOT-23,MMBTA92,smt
179.791219,-152.308933,0.0,top,Q8,,,SOT-23,SS8050,smt
201.966282,-124.318972,90.0,top,Q9,,,SOT-23,MMBTA42,smt
220.733624,-139.208816,0.0,top,R27,,,R_0603_1608Metric,10k Ohm,smt
202.895016,-151.768386,90.0,top,R28,,,R_0603_1608Metric,10k Ohm,smt
220.733624,-141.110183,0.0,top,R29,,,R_0603_1608Metric,10k Ohm,smt
207.442485,-147.194558,0.0,top,R30,,,R_0603_1608Metric,10k Ohm,smt
211.999447,-149.095925,0.0,top,R31,,,R_0603_1608Metric,10k Ohm,smt
191.122865,-153.28948,90.0,top,R32,,,R_0603_1608Metric,10k Ohm,smt
219.22413,-151.768386,90.0,top,R33,,,R_0603_1608Metric,10k Ohm,smt
219.97413,-147.194558,0.0,top,R34,,,R_0603_1608Metric,10k Ohm,smt
212.388687,-125.529519,90.0,top,R35,,,R_0603_1608Metric,10k Ohm,smt
202.505776,-133.504714,0.0,top,R36,,,R_0603_1608Metric,10k Ohm,smt
214.277928,-137.307448,0.0,top,R37,,,R_0603_1608Metric,10k Ohm,smt
211.999447,-90.533816,0.0,top,R38,,,R_0603_1608Metric,10k Ohm,smt
165.140333,-109.738308,90.0,top,R39,,,R_0805_2012Metric,5.1k,smt
160.933624,-114.271042,0.0,top,R40,,,R_0805_2012Metric,5.1k,smt
185.90625,-124.93641,-90.0,top,R41,,,R_0805_2012Metric,22,smt
188.21265,-124.93641,-90.0,top,R42,,,R_0805_2012Metric,22,smt
184.098181,-152.678659,0.0,top,R43,,,R_0805_2012Metric,10k Ohm,smt
186.026409,-146.244558,90.0,top,R44,,,R_0805_2012Metric,10k Ohm,smt
171.746282,-106.885573,0.0,top,R47,,,R_0603_1608Metric,10k Ohm,smt
173.26527,-111.829128,180.0,top,R48,,,R_0603_1608Metric,10k Ohm,smt
200.607042,-118.67405,0.0,top,R49,,,R_0603_1608Metric,47k Ohm,smt
196.43932,-119.445144,90.0,top,R50,,,R_0603_1608Metric,100k,smt
207.831725,-126.290066,-90.0,top,R51,,,R_0603_1608Metric,10k Ohm,smt
204.024763,-127.420339,0.0,top,R52,,,R_0603_1608Metric,10k Ohm,smt
222.252611,-129.70198,180.0,top,R53,,,R_0603_1608Metric,100k,smt
221.502611,-132.374441,90.0,top,R54,,,R_0603_1608Metric,47k Ohm,smt
175.164004,-119.054323,0.0,top,R55,,,R_0603_1608Metric,10k Ohm,smt
178.581725,-118.293777,180.0,top,R56,,,R_0603_1608Metric,10k Ohm,smt
211.6197,-117.152956,0.0,top,R57,,,R_0603_1608Metric,100k,smt
207.831725,-113.741042,90.0,top,R58,,,R_0603_1608Metric,47k Ohm,smt
163.771599,-116.392409,0.0,top,R59,,,R_0603_1608Metric,10k Ohm,smt
164.540586,-119.06487,90.0,top,R60,,,R_0603_1608Metric,10k Ohm,smt
212.768434,-106.515847,90.0,top,R61,,,R_0603_1608Metric,100k,smt
215.417168,-106.5053,0.0,top,R62,,,R_0603_1608Metric,47k Ohm,smt
172.51527,-102.332839,90.0,top,R63,,,R_0603_1608Metric,10k Ohm,smt
174.414004,-100.811745,-90.0,top,R64,,,R_0603_1608Metric,10k Ohm,smt
175.932991,-80.657253,90.0,top,R65,,,R_0603_1608Metric,100k,smt
174.034257,-81.4178,-90.0,top,R66,,,R_0603_1608Metric,47k Ohm,smt
219.231266,-70.170547,90.0,top,R67,,,R_0603_1608Metric,10k Ohm,smt
221.88,-70.16,180.0,top,R68,,,R_0603_1608Metric,10k Ohm,smt
186.556409,-84.449441,0.0,top,R69,,,R_0603_1608Metric,100k,smt
185.417168,-82.548073,0.0,top,R70,,,R_0603_1608Metric,47k Ohm,smt
215.237422,-77.764792,0.0,top,RFilt1,,,R_0805_2012Metric,100 Ohm,smt
218.875396,-74.853152,180.0,top,RSense1,,,R_1210_3225Metric,33 mOhm,smt
167.039067,-90.344362,90.0,top,Rcomp1,,,R_0805_2012Metric,162 kOhm,smt
208.022232,-61.793308,0.0,top,Rfadj1,,,R_0805_2012Metric,147 kOhm,smt
209.920966,-78.145066,0.0,top,Rfb1,,,R_0805_2012Metric,8.06 kOhm,smt
208.611472,-81.75862,-90.0,top,Rfb2,,,R_1206_3216Metric,1.2MOhm,smt
185.806409,-66.587136,90.0,top,Rfbt1,,,R_0603_1608Metric,30.9 kOhm,smt
182.388687,-62.784402,90.0,top,Rffb1,,,R_0603_1608Metric,10k Ohm,smt
179.940966,-145.994558,90.0,top,SS8050,,,SOT-23,NPN,smt
174.276976,-149.139931,-90.0,top,SW3,,,KH-6X6X5H-STM_SKE,EN,smt
183.265547,-138.969256,0.0,top,SW4,,,KH-6X6X5H-STM_SKE,CAL,smt
164.5029,-148.476092,180.0,top,SW5,,,KH-6X6X5H-STM_SKE,BOOT0,smt
202.466029,-70.210964,90.0,top,U1,,,VSSOP-8_3x3mm_P0.65mm,LM3478MM,smt
213.580966,-142.323191,90.0,top,U2,,,SOIC-16_3.9x9.9mm_P1.27mm,74HC595,smt
190.76337,-63.064402,90.0,top,U4,,,SOT-563,TPS562202,smt
203.206789,-140.062644,0.0,top,U5,,,SOIC-16_3.9x9.9mm_P1.27mm,74HC595,smt
185.3397,-131.675534,-90.0,top,U6,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340G,smt
165.73,-132.65,90.0,top,U7,,,ESP32-WROOM-32D,ESP32-WROOM-32E-R2,smt
174.314763,-67.057683,180.0,top,VIN1,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
222.542611,-117.253777,90.0,top,VIN2,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
170.65,-70.7,180.0,top,VIN3,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
181.480206,-125.639792,180.0,top,Y3,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,12 MHz,smt
