Comment,Designator,Footprint,LCSC,Quantity
1 uF,C5,C_0603_1608Metric,C15849,1
100 nF,C6,C_0603_1608Metric,C14663,1
100 pF,"C1,C2,C3,C4",C_0603_1608Metric,C14858,4
18 nH,L1,L_0805_2012Metric,C341795,1
3.3k,R1,R_0603_1608Metric,C22978,1
IN,J2,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
OUT,J1,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
PWR,J3,WJ500V-5.08-2P,C8465,1
QPL9547,U1,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,C5367093,1
