Comment,Designator,Footprint,LCSC,Quantity
10k,"R1,R2,R3,R4",R_0603_1608Metric,C25804,4
2.2uF,C2,C_0603_1608Metric,C23630,1
220nF,"C1,C3",C_0603_1608Metric,C64705,2
AC,J1,WJ500V-5.08-2P,C8465,1
BCW65N45M1,"U2,U3,U4,U5",C47715867_TO-247-3_L15_8-W5_0-P5_44-L_IXFH16N80P,C47715867,4
DC,J2,WJ500V-5.08-2P,C8465,1
PDMCAT18107-102ML,L1,C2831472_IND-SMD_4P-L22_0-W12_0-P8_00-S9_00,C2831472,1
TEA2208T/1J,U1,C1513000_SO-14_L8_7-W3_9-P1_27-LS6_0-BL,C1513000,1
